00001,Reptilia,The Strokes,2003,Alt. Rock,y
00002,Ain't No Rest For the Wicked,Cage the Elephant,2008,Alt. Rock,y
00003,Gold on the Ceiling,The Black Keys,2011,Alt. Rock,y
00004,Doses & Mimosas,Cherub,2012,EDM,y
00005,Live This Nightmare - NGHTMRE Remix,The Griswolds,2015,EDM,y
00006,Takes My Body Higher,Shoffy,2015,EDM,y
00007,Gold,Kiiara,2016,Pop,y
00008,Never Be Like You,Flume,2016,EDM,y
00009,In the Morning,ZHU,2016,EDM,y
00010,Samuri -Pluto Remix,Vanic,2016,EDM,y
00011,Smoke Break,Chance the Rapper,2016,Rap,y
00012,Hot Water,Audien,2017,EDM,y
00013,Icarus,R3HAB,2017,EDM,y
00014,Gods Plan,Drake,2018,Rap,y
00015,Narcos,Migos,2018,Rap,y
00016,Nevada,Vicetone,2016,EDM,y
00017,Wisdom,the Guggenheim Grotto,2010,Pop,y
00018,Summer Vibe,Walk Off The Earth,2013,Pop,y
00019,In and Out of Love,Armin Van Buuren,2008,EDM,y
00020,Highscore,Panda Eyes,2015,EDM,y
00021,Locked Away,R. City,2015,Pop,y
00022,Dealbreaker,Rachael Yamagata,2011,Pop,y
00023,Fuerteventura,Russian red,2011,Pop,y
00024,Little Too Close,WRLD,2015,EDM,y
00025,What's Up,4 Non Blondes,1992,Rock,y
00026,Faded,Alan Walker,2015,House,y
00027,Beautiful Life,Armin Van Buuren,2013,EDM,y
00028,Monody,TheFatRat,2015,EDM,y
00029,Disconnected,Pegboard Nerds,2012,Pop,y
00030,Listen To Your Heart,Roxette,1988,Pop,y
