Song ID,Title,Artist,Year,Genre,Like
1,I Didn't Mean To,Casual,0,hip hop,n
2,Soul Deep,The Box Tops,1969,blue-eyed soul,n
3,Amor De Cabaret,Sonora Santanera,0,salsa,n
4,Something Girls,Adam Ant,1982,pop rock,n
5,Face the Ashes,Gob,2007,pop punk,n
6,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,0,southern gospel,n
7,Keepin It Real (Skit),Rated R,0,breakbeat,n
8,Drop of Rain,Tweeterfriendly Music,0,post-hardcore,n
9,Pink World,Planet P Project,1984,new wave,n
10,Insatiable (Instrumental Version),Clp,0,breakcore,n
11,Young Boy Blues,JennyAnyKind,0,alternative rock,n
12,The Urgency (LP Version),Wayne Watson,0,ccm,n
13,La Culpa,Andy Andy,0,bachata,n
14,Auguri Cha Cha,Bob Azzam,0,chanson,n
15,Tonight Will Be Alright,Lionel Richie,1986,quiet storm,n
16,Floating,Blue Rodeo,1987,country rock,n
17,High Tide,Richard Souther,0,chill-out,n
18,Sohna Nee Sohna Data,Faiz Ali Faiz,0,qawwali,n
19,Caught In A Dream,Tesla,2004,hard rock,n
20,Synthetic Dream,lextrical,0,indietronica,n
21,Broken-Down Merry-Go-Round,Jimmy Wakely,0,classic country,n
22,Kassie Jones,Alice Stuart,0,electric blues,n
23,Setanta matins,Elena,0,uk garage,n
24,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,2004,math-core,n
25,James (Hold The Ladder Steady),SUE THOMPSON,1985,pop rock,n
26,Made Like This (Live),Five Bolt Main,0,post-grunge,n
27,Superconfidential,Clp,0,breakcore,n
28,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,2005,filk,n
29,Spanish Grease,Willie Bobo,1997,latin jazz,n
30,Crazy Mixed Up World,Faye Adams,1961,jump blues,n
31,Do You Finally Need A Friend,Terry Callier,1972,soul jazz,n
32,The Emperor Falls,John Wesley,0,disco,n
33,Twist and Shout,The Shangri-Las,1964,doo-wop,n
34,It Makes No Difference Now,Billie Jo Spears,1992,classic country,n
35,Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),0,rap,n
36,A?DA3nde va Chichi?,Sierra Maestra,1997,charanga,n
37,"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,0,noise rock,n
38,OUTE ENA EFHARISTO,Despina Vandi,0,dance pop,n
39,Midnight Swim,Javier Navarrete,0,orchestra,n
40,In A Subtle Way,Jacob Young,0,cool jazz,n
41,Spin,Scarlet's Remains,2007,gothic metal,n
42,Burning In The Aftermath,The Suicide Machines,2003,ska punk,n
43,Angie (1993 Digital Remaster),The Rolling Stones,0,blues,n
44,Sabor Guajiro,Roberto Torres,0,salsa,n
45,Human Cannonball,Loudon Wainwright III,1995,modern rock,n
46,Glory Be,R.L. Burnside,2004,delta blues,n
47,Crossfire,Stevie Ray Vaughan,1992,texas blues,n
48,I Can't Be Satisfied,John Hammond,2002,blues,n
49,Nashville Parthenon,Casiotone For The Painfully Alone,2006,trip hop,n
50,Cocain Ducks,Ec8or,1995,hardcore techno,n
51,Human Being,The New York Dolls,1974,glam rock,n
52,The More I See You,Eliane Elias,2009,brazilian jazz,n
53,Certain Things We Do,Lost Boyz,1997,gangster rap,n
54,Forming,The Germs,1977,rock,n
55,MafuA!,Yamandu Costa,0,brazilian jazz,n
56,Driving Home For Christmas,Chris Rea,1986,soft rock,n
57,Spooks In Space,Perrey And Kingsley,1966,easy listening,n
58,Tous Les GarASSons Et Les Filles,Eurythmics,1985,dance rock,n
59,Too Much Saturn,Francis Dunnery,1995,singer-songwriter,n
60,Movement 4 [from Kiss] (Album Version),John Cale,1997,experimental rock,n
61,Stream,Suzanne Ciani,0,meditation,n
62,Make Me Over,Vickie Winans,0,ccm,n
63,Deform (live),The Berzerker,2000,speedcore,n
64,Wicker Chair,Kings Of Leon,2003,southern rock,n
65,An ti chans',Edith Lefel,0,zouk,n
66,I Will Love Again (JJ's Club Radio),Taras,0,trance,n
67,Stickin In My Eye,NOFX,1992,punk,n
68,Ota kiinni,Murskahumppa,0,suomi rock,n
69,Entre CanAbales,Soda Stereo,1990,rock,n
70,Rosemary Recalls,Bruce Rowland,1985,easy listening,n
71,Sudanese Dance,Xcultures,2000,gabba,n
72,Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,0,ccm,n
73,Wanna Be A Player,Heavy D / McGruff,1997,pop rap,n
74,Panama (Remastered Album Version),Van Halen,0,heavy metal,n
75,Let's Get It Started,Black Eyed Peas,2004,hip hop,n
76,Metal,Nine Inch Nails,2000,industrial metal,n
77,She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,0,rock,n
78,Next Time,Nadine Renee,0,freestyle,n
79,It's My Party,Lesley Gore,1963,brill building pop,n
80,Complicate It,Smartbomb,2001,melodic hardcore,n
81,Monde De Fou,Suburbs,2005,british pop,n
82,Opus a Satana (Part 2),Emperor,0,heavy metal,n
83,This Melody (Live),Julien Clerc,0,chanson,n
84,I'm Gone This Time,Glen Campbell,0,country rock,n
85,You Feel Good All Over,T.G. Sheppard,2002,country rock,n
86,Indian Love Call,Slim Whitman,1990,folk-pop,n
87,You Can Still Be Free,Savage Garden,1999,easy listening,n
88,I Never Came,Queens Of The Stone Age,2005,stoner metal,n
89,Dixie,Hank Penny & The Lincoln Penny Orchestra,0,western swing,n
90,Commercial Reign,Inspiral Carpets,1990,indie rock,n
91,Hourglass,Borialis,0,rap rock,n
92,Wake,The Dirty Skirts,0,indie rock,n
93,Caricia Y Herida,Flor Silvestre,0,ranchera,n
94,Le tortillard,BA(c)zu,0,chanson,n
95,WKYA (drop),Redman,2001,hip hop,n
96,TerA$?slintu,Solistiyhtye Suomi,0,german pop,n
97,Now's The Time To Fall In Love,Eddie Cantor,0,easy listening,n
98,Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid,0,breakcore,n
99,Mangos,Kai Winding,1961,hard bop,n
100,A Distant Voice,Sonny Simmons,0,free jazz,n
101,Openbare Weg,Mira,2006,shoegaze,n
102,President Johnson,Citizen Kaned,2000,chill-out,n
103,Lead Me Lord,The Brooklyn Tabernacle Choir,1995,gospel,n
104,Spontanous Combustion,Ellen McIlwaine,0,blues-rock,n
105,Choro,Vince Guaraldi / Bola Sete,0,latin jazz,n
106,Ma Louise,Maurice Chevalier,0,chanson,n
107,I Want You (Forever),Carl Cox Vs Yousef,1991,tech house,n
108,Hate,Organized Konfusion,1997,hip hop,n
109,I Can't Stop Loving You,Martina McBride,2005,country,n
110,Thank You Lord,Horace Andy,1985,roots reggae,n
111,How Can You Call That Beautiful (Stewkey Vocal),Nazz,0,freakbeat,n
112,Cheatin' In The Next Room,Tyrone Davis,0,chicago soul,n
113,Candy Man,Hot Tuna,1971,blues-rock,n
114,I See The Boys Of Summer,Richard Burton,0,jazz fusion,n
115,Three Is a Crowd,Rory Block,0,delta blues,n
116,On Bended Knee,Boyz II Men,1994,new jack swing,n
117,My Four Reasons,Howard Armstrong,0,piedmont blues,n
118,Little Girl (LP Version),Donny Hathaway,1971,jazz funk,n
119,Eternamente Amame,Miguel Gallardo,0,male vocalist,n
