artist.name,artist_mbtags,artist_mbtags_count,duration,familiarity,loudness,release.name,tempo,terms,title,year,,,,,
Casual,,0,218.93179,0.581793766,-11.197,Fear Itself,92.198,hip hop,I Didn't Mean To,0,,,,,
The Box Tops,classic pop and rock,1,148.03546,0.630630038,-9.843,Dimensions,121.274,blue-eyed soul,Soul Deep,1969,,,,,
Sonora Santanera,,0,177.47546,0.487356791,-9.689,Las Numero 1 De La Sonora Santanera,100.07,salsa,Amor De Cabaret,0,,,,,
Adam Ant,uk,1,233.40363,0.630382334,-9.013,Friend Or Foe,119.293,pop rock,Something Girls,1982,,,,,
Gob,,0,209.60608,0.651045661,-4.501,Muertos Vivos,129.738,pop punk,Face the Ashes,2007,,,,,
Jeff And Sheri Easter,,0,267.7024,0.535292736,-9.323,Ordinary Day,147.782,southern gospel,The Moon And I (Ordinary Day Album Version),0,,,,,
Rated R,,0,114.78159,0.556495602,-17.302,Da Ghetto Psychic,111.787,breakbeat,Keepin It Real (Skit),0,,,,,
Tweeterfriendly Music,,0,189.57016,0.801136447,-11.642,Gin & Phonic,101.43,post-hardcore,Drop of Rain,0,,,,,
Planet P Project,,0,269.81832,0.426667857,-13.496,Pink World,86.643,new wave,Pink World,1984,,,,,
Clp,,0,266.39628,0.550513698,-6.697,Superinstrumental,114.041,breakcore,Insatiable (Instrumental Version),0,,,,,
JennyAnyKind,,0,218.77506,0.360031167,-10.021,I Need You,146.765,alternative rock,Young Boy Blues,0,,,,,
Wayne Watson,,0,245.21098,0.545159296,-7.545,The Way Home,117.975,ccm,The Urgency (LP Version),0,,,,,
Andy Andy,,0,226.35057,0.577508974,-6.632,Placer & Castigo,130.04,bachata,La Culpa,0,,,,,
Bob Azzam,,0,191.84281,0.085512047,-7.75,Arrivederci,137.334,chanson,Auguri Cha Cha,0,,,,,
Lionel Richie,soul and reggae,1,307.3824,0.776675856,-8.346,Dancing On The Ceiling,125.197,quiet storm,Tonight Will Be Alright,1986,,,,,
Blue Rodeo,canadian,2,491.12771,0.636423645,-8.576,Outskirts,119.826,country rock,Floating,1987,,,,,
Richard Souther,,0,228.5971,0.419943148,-16.11,Cross Currents,127.756,chill-out,High Tide,0,,,,,
Faiz Ali Faiz,,0,599.24853,0.363280571,-8.032,Panjtan Ka Ghulam,99.273,qawwali,Sohna Nee Sohna Data,0,,,,,
Tesla,,0,290.29832,0.707199764,-5.271,Gold,150.062,hard rock,Caught In A Dream,2004,,,,,
lextrical,,0,165.69424,0.32031437,-6.787,Whatever Happened To Boredom?,138.331,indietronica,Synthetic Dream,0,,,,,
Jimmy Wakely,,0,151.84934,0.39413854,-15.221,1942-1952 Jimmy Wakely,86.186,classic country,Broken-Down Merry-Go-Round,0,,,,,
Alice Stuart,,0,220.78649,0.489816269,-8.514,All The Good Times,110.382,electric blues,Kassie Jones,0,,,,,
Elena,,0,269.58322,0.677420465,-8.05,Un cafe_ setanta matins,111.874,uk garage,Setanta matins,0,,,,,
The Dillinger Escape Plan,rock and indie,1,207.77751,0.839962768,-4.264,Miss Machine,166.862,math-core,Setting Fire to Sleeping Giants,2004,,,,,
SUE THOMPSON,,0,124.86485,0.435415818,-12.332,Sue Thompson - Her Very Best,137.522,pop rock,James (Hold The Ladder Steady),1985,,,,,
Five Bolt Main,,0,225.09669,0.6090637,-5.908,Live,164.672,post-grunge,Made Like This (Live),0,,,,,
Clp,,0,338.31138,0.550513698,-6.486,Strictly Confidential,125.006,breakcore,Superconfidential,0,,,,,
